id,comment,like,text length,evaluation,evaluation,request,request,,,0,Negative
Izza Yu,"Well, I understand where you are coming from based on a Koreans POV. As expected, Koreans tend to feel more the emotions impact. On the other hand, we Filipinos tend to feel cringey whenever we see/hear something that tend to go overboard because of yeah, trying hard to be that genre when they can actually not. This group however, went beyond our expectations. It is not trying too hard nor cringey but rather, it is music to our ears and the message was there. We feel what they want to say and what to achieve. Well thats my 2 cents.",54,537,33,SS,0,Not-Request,,,,
Enya Estrellado,What do you feel when listening to this song? -I feel so proud ,20,63,33,SS,0,Not-Request,,,,
sarang Jeon,Plz watch them performed on wish bus 107.5 live and their dance practice and some of fancam,141,91,33,SS,0,Not-Request,,,,
Independent Gfriend,"It's kind of useless to look for good looking guys when they become too conscious of their face while performing so it's a big thumbs up the company disregarded that fact because pure talent and a refreshing style is really more captivating!P. S. By the way, the highlight part is not tagalog it's English. ""Nowhere but up""",53,323,33,SS,0,Not-Request,,,,
에이스Ace,"As a Filipino, the song sounds really new. When I first heard this song I'm shocked because I feel like listening to a whole new different genre, even though it has that stereotyped form of the song. I'm not sure but I think this is the first of its kind in Philippines. ",94,271,33,SS,0,Not-Request,,,,
Yeahyeah YeahAte,"Hi Taetae, the members themselves composed the lyrics and created the choreo for this song Go Up! From a Pinoy's point of view,   they are really good in all areas, their vocals are very stable even during their live performances, they can also do acapellas(their choir-like blending voices/vocals are really good), their crisp movements and dance routines are very polished and synchronized(you might want to check out their dance practice videos here on youtube as well). For me, Go Up is a very catchy and lively song hence I like it so much(can't even remember how many times I've watched it). If you want to hear how good they really sound in terms of their powerful vocals, please do watch their TILALUHA video and/or their acapella version of the song on 'SB19 Thank You Message for TILALUHA' video, both can be found here on youtube.Your constructive video review for this MV is very much appreciated. I believe that our boys deserve all the attention and hype that their getting right now. Looking forward to more reviews for SB19. We Filipinos and their fans are soooooooooooooo soooooooo proud of them.Btw, another short trivia, the name of their fanbase is called Aurum --and Aurum is a latin word for gold hence the chem element symbol Au. Thanks again and more power to your channel!",45,1297,1,Positive,1,Request,,,,
Princesz Sara,"Please react also to their live performance.. ""Hanggang sa huli"" & ""Tilaluha"" you'll be amaze how they sing live.. really got the vocals.. thanks ",61,146,33,SS,1,Request,,,,
Jerwin Pagela,Thank you for reviewing to SB19!!! This has also been the most in-depth review and reaction. Fighting!!,87,103,1,Positive,0,Not-Request,,,,
Louie Jay Castillo,Well this is the ONLY BOYBAND who does choreography on point. And vocals.,21,73,33,SS,0,Not-Request,,,,
Jollie Realista,"Hi [TaeTae] Thank you for recently reacting to new Filipino Boy Group ""SB19"". The music video for ""Go Up"" did not really do them justice for you to assess their true vocal talents.Below are some video suggestions of their performances ""Live"" with their Debut song ""Tilaluha"" and their Wish Bus Live Performance of ""Go Up"". Hope you can post a video review soon!  Thanks!""Tilaluha"" Live Performance of SB19: https://youtu.be/k9PoQ-3RcAY""Tilaluha"" short acapella of SB19: https://youtu.be/KAeQbPzIVzg""Go Up"" Wish Bus Performance of SB19: https://youtu.be/HY8FmL9Nf94",38,564,1,Positive,1,Request,,,,
piper lazo,They are like BTOB.. even the rappers can sing very well...,6,59,33,SS,0,Not-Request,,,,
Roms M,I am actually amazed that you rightly guess who is the main vocal and the visual of the group.,24,94,33,SS,0,Not-Request,,,,
Daisy Atilano,"I'm a filipina,,, and proud to say that finally we don't need to read subtitles because we already understand what they were singing,,,, Keep on aiming high guyzz",10,162,33,SS,0,Not-Request,,,,
Kristine Chance,This is the most honest and detailed reaction video/review Ive watched so far. Thank you for saying your opinions about SB19,22,124,1,Positive,0,Not-Request,,,,
Froilan cadalin,When I do love listening to Korean music and yet I couldn't understand but still I keep on listening to it. Now I feel more into it since I can understand it clearly. #kenismybias#sb19,11,184,33,SS,0,Not-Request,,,,
Trisha Theresa,"Tae taeeeee!! can you react the SB19 ""Dance practice"" pleaseee! salanghaeee",31,75,33,SS,1,Request,,,,
Aneley Kho,"We love SB19, We stan SB19 ",11,27,33,SS,0,Not-Request,,,,
Habib Kareem,"From a Filipino point of view i love this boy group. They are introducing this new sound to us, well actually not that new to us since we are used to listening to Kpop songs on our radio. But i love how they insert some Filipino touch to their song. I love them...",21,264,33,SS,0,Not-Request,,,,
M.,"Don't really care whether it's KPOP, PPOP, OPM - as long as it sounds good and it does. Haha.",7,93,33,SS,0,Not-Request,,,,
Rohenz desu,"If you truly want to analyze their vocals, try reacting to hanggang sa huli",3,75,33,SS,1,Request,,,,
joan's doodles,"If SB19 isn't going to be a game changer in OPM, I don't know what is.",6,70,0,Negative,0,Not-Request,,,,
jenny eleccion,Actually were so happy that the Korean management didnt choose or base them on looks instead they trust the boys because of their talents!!!Edit: They (SB19) actually write the lyrics and made the choreography ..,3,212,33,SS,0,Not-Request,,,,
Ma Victoria Ocampo,Please react to Z Girls Streets of Gold live at arirang radio guesting.,0,71,33,SS,1,Request,,,,
sweethart marcelo,WE LIKE IT SUPER NOW IM FAN ,0,28,33,SS,0,Not-Request,,,,
Angel x,what i feel: Happy and inspired,1,31,33,SS,0,Not-Request,,,,
Cha Domchit,"Tae tae I just want to say that the right spelling of Filippino is ""Filipino"" and then the Philipino is ""Pilipino"" ",1,115,0,Negative,1,Request,,,,
Hy Brid,You've said a lot and there's only one sentence every translation ,0,66,0,Negative,1,Request,,,,
Rae Dongiapon,The members wrote their songs 'Tilaluha' and 'Go Up',1,52,33,SS,0,Not-Request,,,,
Yshitot,"When a Kpop style group debut in the Philippines:Filipinos: WOW! THEY'RE SO CoOLWhen a JPOP style group debut in the philippines:Filipinos: Wtf, they're so ""pabebe""Dude, like, the music industry in the PH is gonna change, and I know it's new and different, but we gotta keep an open mind about change.",4,301,33,SS,0,Not-Request,,,,
Raxle Eros,"Hi Sir TaeTae. Thank you for your honest reaction to my idols' MV. We, Aurums, appreciate your honest critiques and compliments.About your question on our perspective on SB19, Filipinos became attracted to this idol group recently is because of their synchronized dance practice video and fresh vibes they're bringing to OPM (Original Pinot Music). They are now introducing a fresher version of Philippines Pop (P-POP) in my homeland which have a touch of Korean Pop vibes. Maybe, it is because they're company is a Korean Entertainment, and the producer of their song ""Go Up"" is also the producer who worked with some popular Korean Idols, such as Wanna One and Stray Kids. In short, they're bringing a new trends to Philippines music industry, and we're loving it.Fun Facts:Their first single is called ""Tilaluha"", which is a ballad song about heart break. They're exploring different genres. There are only 2 singles with official MVs (""Go Up"", and ""Tilaluha""), and another 2 singles without official MVs or official studio recorded yet (""Love Goes"", and Hanggang sa Huli), but they're performing all of those 4 songs in their events here in the Philippines. They're exploring different styles every time and they're really working hard in making their own lyrics and choreography, that's why we Filipinos love them. Suggestion and Request:Please continue to support them and  their songs in the future. Personally, I love your honesty and the way you gives critiques to them in a professional manner. Hope to see you in the future, with their new song. Thank you.PS. New subscriber here ",5,1591,1,Positive,1,Request,,,,
esembee_ hall,"6:22 ""Filipino"" this is the correct spelling TaetaeWell, I've first heard ""TilaLuha"" before ""Go Up"" was release. Being a Filipino, I used to listen on emotional songs or songs that is very heartwarming as in ""tagos sa puso"". SB19 voices are very unique and the fact that they are writing their own lyrics made me respect them. And Go Up already entered the taste of Filipino when it comes to music. They are the best boy group existing here in Ph.10:59 Taetae's comment I loved the most and I can agree 10000000000000000000000%11:41 I also love your comment on this part.Taetae, as a Filipino and in my own perspective, SB19 is more impactful than other singers here in Ph. They are the freshest singers who can dance and sing, a total performers. I think you should check translations of their songs also. Like BTS, I like songs with deep meanings or poetic. SB19 used Filipino  lyrics but not in street style. Mostly of the rising singers here in Ph uses slang and street style lyrics, it's not my taste due to the fact that it bends our language. It is still the best, hearing a great composed, proper Filipino lyrics, it's worth hearing.TAETAE, Thank you for always doing reactions on Filipino singers. You're nice, keep doing that and maybe one day... maybe, MORISETTE AND TAETAE will have a collab reaction. Uwu!!! #TAESETTE sounds like a Cassette. Yieeehhhhh",1,1365,1,Positive,0,Not-Request,,,,
Cazel Ann,"I fell in love with their song first before the boys. This song is what made me their Fan, then I came to love them.",1,116,33,SS,0,Not-Request,,,,
Roxy Lipz,The explosion is after bridge going to chorus with the high voice,1,65,33,SS,0,Not-Request,,,,
SB19 Sejun's Wife,"I'm a Filipino and from my point of view, I think SB19 will be the start of the new standard for Pinoy Pop Music .. And I am supporting this guys .. I became a part of Aurums.. Thank you for reacting to SB19 .. More reaction videos to them I suggest TILALUHA and HANGGANG SA HULI Thank You so much .. ",18,301,1,Positive,0,Not-Request,,,,
teresita torno,What amazes me is that they sing live while dancing in all their performances.. big NO to lip sync.,0,99,33,SS,0,Not-Request,,,,
Froilan cadalin,You can also react to their live performance of this song Go Up at the wish buss 107.5,11,86,33,SS,1,Request,,,,
Estefhanilyn Grace Estodillo,And the best part of it.. theyre the one who wrote that song...,1,63,33,SS,0,Not-Request,,,,
yhori kim park,"VOCAL sir then React to their LIVE performance of their debut song ""TILALUHA""& ""HANGGANG SA HULI"" they all can dance and CAN SING.... They did write their lyrics too & yeah i believe they can produce theur own music...",1,218,33,SS,1,Request,,,,
DARINBOMY,Tae tae means literally full of shit in my language ,1,52,33,SS,0,Not-Request,,,,
수미Lucy,Hi I'm filipinoPlease react to their go up 2x challenge Or their song tilaluha,17,78,33,SS,1,Request,,,,
RA ET,"React to Morisette Amon's cover of ""Never Enough"" on Wish Bus  kamsahamnida",0,75,33,SS,1,Request,,,,
min mavic palomares,Hi Taetae please react also to their other songs and also to their dance practice i am one of their fans here who sopport them so much and i am very proud of them ..,12,165,33,SS,1,Request,,,,
jigz namdaj,Sb19 is a threat to all pinoy boyband realtalk this group much better compared to boyph and hashtags,5,100,33,SS,0,Not-Request,,,,
CrixzCel Ver,"To answer your questions, theres been a lot of good feedback from Filipinos especially, kpop fans and theres a lot of support coming from us,  because we are quite familiar with how kpop idols train and perform. and also how these boys pulled off the kpop feel of the song while writing their lyrics in tagalog, is quite new for us but it makes us proud, since theyre getting attention from almost all parts of the world at the moment.visually, they are charismatic i would say. They arent the usual portrayed handsome in the philippines, since the philippines visual standards on men tend to lean on strong features while appearing very masculine like: black hair, swept up, biceps and abs kinda visuals. since they are under a korean entertainment and, their fashion and styles lean towards the korean idol stereotype, which they do look good at and pull off. but for my personal opinion, they are reeeeally handsome and charming, and on top of that their skills and talent make them even more handsome haha.",2,1010,33,SS,0,Not-Request,,,,
Ghian Signa,"ALSO REACT TO ""MNL48""PHILIPPINE FIRST GIRL IDOL GROUP",1,53,33,SS,1,Request,,,,
Michel Etienne Sartre,I like the part where he said:It's so cool that they express K-Pop style without any dysentery.. That made my day.,3,114,33,SS,0,Not-Request,,,,
Lennox Aeri,"He's so good at explaining and connecting everything hahaha I'm sorry for my grammar btw, new subscriber here, I like this kind of reviews and reaction from youtubers",1,166,1,Positive,0,Not-Request,,,,
Chen,"please if you have time try to react for ""go up"" dance practice thanks:D",9,72,33,SS,1,Request,,,,
Agent Jrm,"You should react to them perform live in their Tilaluha, Love Goes and Hanggang sa Huli. I also saw a Korean Version of Hanggang sa Huli that they also sang.",2,157,33,SS,1,Request,,,,
Perky Jelly,"React to their song ""Tilaluha"" that's their debut song please notice this",1,73,33,SS,1,Request,,,,
Trisha Theresa,"And can you react the ""Tilaluha MV By Sb19"" ",16,44,33,SS,1,Request,,,,
sarah kim,"Please react to their another song ""tilaluha""",15,45,33,SS,1,Request,,,,
oppa holixx,IM FREAKING OUT TO WRITE DOWN A COMMENT BUT YEAH SEEMS LIKE YA'LL WROTE THEM DOWN ALREADY.,0,90,0,Negative,0,Not-Request,,,,
Reymark Garcia,"Yieee who's Carat here?  TaeTae just mentioned SEVENTEEN, by the way Mingyu is my bias. ",3,88,33,SS,0,Not-Request,,,,
Yrozz Zhea,When i listen the music of sb19 it feels like hype hahaha because we dont need a subtitles like kpop music.we dont need to adjust and we filipino are proud of them because we have a such talented boys do this kind of music....so refreshing and cool to listen ...thank you for reacting their mv...and taetae your so handsome ..Godbless you..and Godbless to sb19,1,360,1,Positive,0,Not-Request,,,,
Dadz Juguilon,"Their K-pop idol mentor's are:Adelaide Hong and Desuri Choi (dance intructor mentor)Jinho Bae is their K-pop culture and fashion instructor mentor.Morissette Amon ""ASIA'S Phoenix"" is their Singing instructor mentor ",0,215,33,SS,0,Not-Request,,,,
Little Joy,Yes SEVENTEEN vibes also,4,24,33,SS,0,Not-Request,,,,
da_ reality,Taetae ??. . My greenminded cells works again Watch their live perf. SB19 ,0,74,33,SS,0,Not-Request,,,,
JongJoo Couple,Hey Something NewTv Please react to their Songs Tilaluha and Hanggang sa Huli You can hear their true vocals their I hope that you could see and hear it as well Thank you,9,170,33,SS,1,Request,,,,
Alter Hero,As a Filipino this song gives me a new flavour. Were used to hearing ballads and were quite tired of it. So theyre giving us new sound and I like it! Will support this hardworking group and hope that they will rise too just like many of the Kpop idols.,1,252,33,SS,0,Not-Request,,,,
Liandrei De Villa,Their concept is like wanna one,1,31,33,SS,0,Not-Request,,,,
michael paloma,Yung ibang small youtuber na kauti pa lang ang subcribers pansin ko lang mas mataas pa yung views talaga kapag sb19 reaction #Aurum#Fighting,2,140,33,SS,0,Not-Request,,,,
SUN TEA,Here in the philippine TaeTae means poops. btw thanks for reacting to sb19 .,6,76,1,Positive,0,Not-Request,,,,
Sofia Balaqui,Stell's high note was an explosion to me tho,0,44,33,SS,0,Not-Request,,,,
파란색진한,Filipinos love this group. Thank you for reviewing SB19. We now know the standpoint of Koreans for them. Please react to their dance practice too.,16,146,1,Positive,1,Request,,,,
Sam Sue,I recommend Kris Lawrence's cover of Versace on the floor on the wishbus.,0,73,33,SS,0,Not-Request,,,,
chasing ceel,"I've read a lot of comments about this group. They said SB19 members are talented enough but ""ugly"". Been receiving a lot of hates too coz they think the group is not ""Filipino"" enough. But I love this group and they have a lot of supporters, they're talented, hardworking so I think there's a big future ahead of them.",13,319,33,SS,0,Not-Request,,,,
Zayn,"In my own perspective, I think the main highlight of their songs focus on the message that they want to convey, on what they want to impart to every listener. And that's the common thing in creating music in the Philippines. They are the ones who are writing and making the lyrics of their songs. Thank you for reviewing SB19. Hope you try their TILALUHA, HANGGANG SA HULI and LOVE GOES in their live performances. Thanks!",1,422,1,Positive,0,Not-Request,,,,
Kristel Renalyn Lusares,"My suggestion is that you can also see their debut song titled ""TILALUHA"".",0,74,33,SS,0,Not-Request,,,,
KIM QUE뭬,"hi tae tae, even though im a filipino, and a fan of them, i actually agreed of what youve said. yeah, its better if there is a mix, to divert the both concept, and create something new.",1,185,33,SS,0,Not-Request,,,,
Samej,"Hyung, as a vocal coach, you may watch their live performance of this song ""Go Up"" on Wish Bus 107.5.",2,101,33,SS,0,Not-Request,,,,
abe naval,"""Most handsome pilipinos"" lol. No hate",0,38,0,Negative,0,Not-Request,,,,
Rose Mae Dalinog,"Get in the zone, break! For me as a Filipino, I  can say that they really did it. SB19's Josh, Sejun, Stell, Ken and Justin really did it. They already break some over stereotype's about some certain tracks that other artists cannot do. The way they dance was on point, every lockings and some moves that give some more spice on their performance are within their hearts, and passion. They trained hard for this to come true. They're singing skills are awesome, no one can change my mind about that. SB19, is very popular in here and slowly abroad not only because of their singing and dancing skills, but also because of they're hardwork,being a family oriented, God fearing and very lovely attitude towards their fans. They treat A'TIN (SB19's fandom name) as a genuine family by hearts that I ain't see enough from the other regular artists in here too.  About the MV, it makes me smile widely and makes my heart flutter. Mwo? cause it shows that they are indeed eager for their dreams. Meanwhile, about the extravagant vocals  please do watch and listen on their covers, most importantly their debut song TILALUHA where you can hear the powerful tune of them. Yet, these HANGGANG SA HULI and  LOVE GOES are their unreleased song. It's worth it too! Do keep an eye on them, it'll be worth it, more than the word it is. Thank you, God bless y'all.",0,1349,1,Positive,1,Request,,,,
Heather Kim,Can you react to their other songs? They also covered some korean songs and it's so lit!,0,88,33,SS,1,Request,,,,
GHN MEDIA,I really love the music. It's fresh..,1,37,33,SS,0,Not-Request,,,,
Roxy Lipz,"We fell in love with their discipline, hardwork and charm.",0,58,33,SS,0,Not-Request,,,,
Ash Sash Shin,"Hi Tae Tae, I'm a fan of your reactions.SB19 so far is doing really good. I love their Go Up music. If you want to hear their vocals, pls watch their performance of ""Tilaluha"" on wish bus. Also, pls listen to their ""Hanggang sa Huli"" song... Lovelots.",0,251,1,Positive,1,Request,,,,
Helen Grace,"Well for me, music is a form of expression. To be able to appreciate it, you first have to feel it. No matter how vocally trained, it's still the sincerity that catches people's heart. Anyway, thank you for reacting to SB19. I'm looking forward to hearing a lot of reviews from you about them. ",3,294,1,Positive,1,Request,,,,
Ezra Sonn Tangog,"At first i was reluctant to watch them because i thought they're one of those so-called wanna be kpop, but then i saw and listened once to their live performance. And they blew the mind out of me, they're showing what the Filipinos are capable of doing if trained correctly!",0,274,33,SS,0,Not-Request,,,,
Lyka Bastida,"Unlike the Korean Industry, Filipino Music focuses more on Soloist with powerful vocals or RNB. This particular group is very refreshing specially for a boy group. They are not as famous as other soloist here but they are creating a name and giving the PPOP industry a whold new color.",2,285,33,SS,0,Not-Request,,,,
ronareza estenor,Tae tae mention seventeen oh my god my carat and aurum heart,0,60,33,SS,0,Not-Request,,,,
Dimple,"Well I like the way you said ""I think the company has cast MOST HANDSOME FILIPINO MEMBERS. Well atleast you appriciated their beauty... Thanks for that...AURUM will understand this...10:17 if you want to see or know more about their vocal skills please react to their 2018 debuted song"" Tilaluha"" and their other song ""Hanggang Sa Huli"". Their vocals are so emotional and powerful. They both made that song...",1,409,33,SS,1,Request,,,,
Yo! ARMY!,"Love you reactions  got inspired and made my own reactions to their songs, please check it out!!",0,96,1,Positive,1,Request,,,,
Analiza Bides,React also to their song LOVE GOES which they sang live today oct 17 in one of the morning show where they guested UNANG HIRIT.,0,127,33,SS,1,Request,,,,
Kimmy Avila,Omgyou're the one whom I talked in OmeTv. You are wearing red shirt that timeee,0,79,33,SS,0,Not-Request,,,,
Maryrose Laurente,"You should listen to their debut song ""Tilaluha"", specially their live performance. You will see how great their vocals are.",0,124,33,SS,1,Request,,,,
OJ Padua,"Please react to their 1st single ""TILALUHA"", a ballad song. Its about one sided love. The MV shot at Korea. =)",0,110,33,SS,1,Request,,,,
Piano Angel4,"You know, I want to learn their dance choreography already for fun  Excited na ako sa kanila magkaroon nang album and concert.",0,126,33,SS,0,Not-Request,,,,
Jennifer Albano,They're gaining attention little by little in music industry. They are trending on every aspects of social medias This is kinda new to us but since we had adopted some of the Korean cultures most likely K-pop. It wasn't make us cringed or what .It makes us happy and proud.#Sb19,1,278,33,SS,0,Not-Request,,,,
Can Pareja,"Thank you!!! We love them because of their talents and even though they're popular now in the Philippines. They're still humble. I knew personally one of sb19, he's really hard working and even have part time jobs when we're still in college. Thanks again. Hope to react more videos of sb19.",0,291,33,SS,1,Request,,,,
Myra Luquinario,"Did you watch they're ""Tilaluha""? Its a ballad and kinda like it.",0,65,33,SS,0,Not-Request,,,,
JenLove젠러브,Being Filipino I feel really proud of themthey're the best talented babies for us,0,81,33,SS,0,Not-Request,,,,
jaymar manoban contad,You know who it is ... SB19 WISH COME TRUEEEE   STAN SB19 ,0,58,33,SS,0,Not-Request,,,,
pepperoni peanut,If you really want to hear their powerful voice please react to TILALUHA,0,72,33,SS,1,Request,,,,
Angel x,yayyy more reactions to SB19 sooo proud,1,39,33,SS,1,Request,,,,
_an_ judavnice,First of all thank you for granting our request..just to give u an overview about this group.they are just the only group who showed us their talents in singing dancing and even writing and choreographing their own dance steps..so they are really level up plus they love our language thats why they are now very popular and also they they have a great vocal range even with their live performances..you should listen to them..meaning they are so talented indeed and because of this we are proud to be filipino!,2,510,33,SS,0,Not-Request,,,,
Bhadz Fenty,Pls react to KZ tandingan royals she is filipina,2,48,33,SS,1,Request,,,,
Aphrodite Odyseus,[TaeTae] pls react to Sejun(leader of SB19) covering Darling by Taeyang thank you inadvance,2,91,33,SS,1,Request,,,,
Jim SB19_Hotdog,"Indeed an honest reaction, very constructive and on point thought. Indeed there's a big room for improvement however their goal is for their music to be embraced and accepted and we the Filipino fans will support them as they have a great potential and we will see them Go Up and be big globally. Btw keep it up and react more on their videos and upcoming singles, your honest opinion is appreciated.",0,400,1,Positive,0,Not-Request,,,,
V.A Studios,Please react SB19 - Tilaluha! this shows their vocals more it is also a ballad song so it'll be really interesting on how you think of their voice,0,146,33,SS,1,Request,,,,
CrixzCel Ver,"I really appreciate this review out of the ones I have watched, since you went detail by detail and you werent scared to pinpoint the things you felt that they lacked on. Well, I guess its because youre a vocal trainer, your approach on reviews are really interesting to listen to and I find myself analyzing the parts of the song as well  Im subscribing!!! ",0,358,1,Positive,0,Not-Request,,,,
Allianna Medalla,"Please react their debut song ""Tilaluha""",0,40,33,SS,1,Request,,,,
einna yoonmin,"07:28 im happy you love that part, we love it too.. by the way this is an inspirational song. it tells that don't stop chasing our dream. despite of the hardship in life, we must not stop thats the only way to go up  yeah you may not like it 100% maybe because the entire song was tagalog, if you have someone who can translate the entire song in hangul then maybe that makes little different on your perspective. we really love this boys bcoz they gave a new flavor in OPM (Original Pinoy Music) and i must say that is because they were trained more than the new artist we have in the present.. and honestly their song, the lyrics.. the meaning of their song really touches our hearts",0,685,33,SS,0,Not-Request,,,,
SEANERA M.D.R.,They're composed their own songs..it's their time to shine,2,58,33,SS,0,Not-Request,,,,
shamaica alegre,You can hear their real vocal skills in their songs like tilaluha,0,65,33,SS,0,Not-Request,,,,
Cathlyn Vinluan,"Hi TaeTae! please also react to SB19's Tilaluha and Hanggang sa huli live performance, you will see their angelic vocals in this videos, hope you notice my comment react to their other videos. Love from Philippines ",4,215,33,SS,1,Request,,,,
jelynclhouiean angelika,Very proud our very own pilipino idol groupWe dont expect that we can form an idol  group with a twist of korean style ......Although the type of music video im not proud of but the voice style and dance thumbs up SB19,1,218,33,SS,0,Not-Request,,,,
Asha Salorico,pls react to their song on wish bus,0,35,33,SS,1,Request,,,,
Kanon 1228,React to their lives stages and tilaluha,1,40,33,SS,1,Request,,,,
Little Joy,Their live performance singing go up,0,36,33,SS,0,Not-Request,,,,
Izzy,"Thank you for your review! This is actually our first time hearing Filipino idol group with KPop sound! It's new to us, but we were surprised that they could really do it!One insight for me, I think the rap verses are distinctly Filipino! Filipino rap is really interesting  and it has a very unique sound. Would love to hear you review on some of them :) Anyway hope you could review more of their songs!! They're good ",0,420,1,Positive,1,Request,,,,
Kisselle Vista,they were appreciated here in the philippines.. try to react to their go up dance practice and wish 107.5 live performance..,0,124,33,SS,1,Request,,,,
elizza kaye_tae,Hello Taetae did you saw my comment on morissette akin ka nalang reaction?What's your decision? Will you marry me then?lol.You nice. Keep going,0,143,1,Positive,0,Not-Request,,,,
Joanna Marie Gallo, omg thank u that u see them really handsome contrary to some of my fellow men please react to thier cover of bigbang song,0,122,1,Positive,1,Request,,,,
Lance Luna,"Hi, Taetae! Im new to your channel and i really love your objective reviews. Its always great listening to insights of professionals when it comes to reviewing performers. They also sing songs of different genres and wed love to here your insights on them as well. Here are the links for their performances:SB19 Live singing Hanggang sa Huli (Genre: Ballad) https://youtu.be/0TIRz_mB2No SB19 short clip live singing a verse in their debut song Tilaluha (vocals only) https://youtu.be/KAeQbPzIVzgThank you so much!",0,513,1,Positive,1,Request,,,,
c a l i,i remember hotel del luna when full moon is mentioned. by the way please react to their videos more~,1,100,33,SS,1,Request,,,,
Taespacito,Theyll be releasing two more music videos soon :D,0,49,33,SS,0,Not-Request,,,,
Jey Dee,PLS DO REACT TO THEIR DANCE PRACTICE.  THANK YOU!,0,49,33,SS,1,Request,,,,
Niranda Septi,PLEASE REACT TO AGNEZ MO - KARENA KU SANGGUP,0,44,33,SS,1,Request,,,,
Laiza Ciriaco,"Good day! Please react to Inigo Pascual's new MV called ''Options'' it was directed by Korean Productions, the director is Dawittgold of the said MV  also the same director of EXO Lightsaber. Thank you",0,201,33,SS,1,Request,,,,
Fickle Wave,The music sounds fresh and the lyrics sound very natural to my Filipino ears. You will appreciate it more if you understand its lyrics.  I love this song. Thanks!,1,162,33,SS,0,Not-Request,,,,
Kei Castro,If you want to see their actual voices react to tilaluha and hanggang huli live version.they amazing voice.#AURUM FANS HERETHANKS...,0,132,33,SS,1,Request,,,,
Julie Gobangco,Thank you so much for considering to react to SB19's Go up.  I think the best live performance of Go up would be SB19's guesting on Wish Bus 107.5 ... please check their latest performance over there.. thaaaaanks! God bless you!,0,228,1,Positive,1,Request,,,,
Angelica Daguno,Please react also to their live song Tilaluha on Wish bus,0,57,33,SS,1,Request,,,,
Nicol's World,"what we feel about this is how koreans feel when they listen to kpop. that happy feeling, that you get to understand the language theyre singing.",0,145,33,SS,0,Not-Request,,,,
eden calusir,"please react elaine duran ""someday"" on tawag ng tanghalan - Philippines",0,71,33,SS,1,Request,,,,
